                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.54652,                0.33179,                0.80006,                0.99609,                0.99281,                 0.9939,                0.91365,                0.45522,                0.31672,                0.76768,              0.0011059,              0.0011059,              0.0011059
                     37,                0.54991,                0.33155,                0.80019,                0.99678,                0.99783,                0.99407,                0.92287,                0.43414,                0.30136,                0.76523,              0.0010894,              0.0010894,              0.0010894
                     38,                0.53053,                 0.3243,                0.79863,                0.99734,                0.99643,                  0.994,                0.92401,                0.43123,                0.30139,                0.76567,              0.0010729,              0.0010729,              0.0010729
                     39,                0.53842,                0.32745,                0.79932,                0.99747,                0.99621,                0.99404,                0.92425,                0.43718,                0.30567,                 0.7656,              0.0010564,              0.0010564,              0.0010564
                     40,                0.53925,                0.32494,                 0.7993,                0.99741,                0.99703,                0.99401,                0.92523,                0.41861,                0.29725,                0.76492,              0.0010399,              0.0010399,              0.0010399
                     41,                0.52753,                0.32352,                0.79841,                0.99687,                0.99775,                0.99403,                0.92197,                0.43817,                 0.3074,                0.76697,              0.0010234,              0.0010234,              0.0010234
                     42,                0.52549,                0.32207,                0.79827,                0.99731,                 0.9976,                0.99387,                0.92597,                0.42592,                0.29835,                0.76624,              0.0010069,              0.0010069,              0.0010069
                     43,                0.52363,                0.32007,                0.79741,                0.99742,                0.99664,                0.99398,                0.92906,                0.42019,                0.29684,                 0.7647,             0.00099036,             0.00099036,             0.00099036
                     44,                0.51109,                0.31382,                 0.7967,                0.99719,                0.99677,                0.99396,                0.93254,                0.40803,                0.29445,                0.76373,             0.00097386,             0.00097386,             0.00097386
                     45,                0.53366,                0.32017,                0.79843,                0.99727,                0.99776,                0.99402,                0.92631,                0.42732,                0.29638,                0.76421,             0.00095736,             0.00095736,             0.00095736
                     46,                0.50965,                 0.3113,                0.79608,                 0.9971,                0.99818,                0.99403,                0.93772,                0.38835,                 0.2861,                0.76096,             0.00094085,             0.00094085,             0.00094085
                     47,                0.50275,                0.30865,                0.79571,                0.99763,                0.99742,                0.99411,                0.93748,                0.39658,                0.28393,                  0.762,             0.00092435,             0.00092435,             0.00092435
                     48,                0.49435,                  0.304,                0.79451,                0.99761,                0.99773,                0.99403,                0.93909,                0.39626,                0.28266,                0.76118,             0.00090785,             0.00090785,             0.00090785
                     49,                0.48834,                0.30165,                 0.7953,                0.99693,                0.99619,                  0.994,                0.93838,                0.38694,                 0.2817,                0.76117,             0.00089134,             0.00089134,             0.00089134
                     50,                0.49447,                 0.3041,                0.79472,                0.99723,                0.99744,                0.99394,                0.93968,                0.39057,                0.27955,                0.76047,             0.00087484,             0.00087484,             0.00087484
                     51,                0.48413,                0.30127,                0.79329,                0.99748,                0.99613,                0.99391,                0.94016,                0.38354,                 0.2828,                 0.7602,             0.00085834,             0.00085834,             0.00085834
                     52,                0.48792,                0.30345,                  0.794,                 0.9976,                0.99746,                0.99412,                0.94164,                0.37642,                0.27777,                0.75944,             0.00084184,             0.00084184,             0.00084184
                     53,                0.48342,                0.29856,                0.79323,                0.99731,                0.99769,                0.99385,                0.94032,                0.37861,                0.27922,                0.75961,             0.00082533,             0.00082533,             0.00082533
                     54,                0.47714,                0.29781,                0.79285,                0.99681,                 0.9974,                0.99384,                0.94839,                 0.3537,                0.27087,                0.75859,             0.00080883,             0.00080883,             0.00080883
                     55,                0.47989,                0.29685,                0.79324,                0.99769,                0.99751,                0.99393,                0.94287,                0.36118,                0.26949,                0.75839,             0.00079233,             0.00079233,             0.00079233
                     56,                0.47146,                0.29344,                0.79215,                0.99765,                0.99749,                0.99403,                0.94798,                0.36124,                0.26852,                 0.7581,             0.00077582,             0.00077582,             0.00077582
                     57,                0.46677,                0.29077,                 0.7923,                0.99765,                0.99767,                 0.9939,                0.94305,                0.36469,                0.26982,                0.75791,             0.00075932,             0.00075932,             0.00075932
                     58,                0.46326,                0.29311,                0.79163,                0.99683,                0.98983,                0.99363,                0.94336,                0.36777,                0.28029,                0.75887,             0.00074282,             0.00074282,             0.00074282
                     59,                0.47177,                0.29685,                0.79244,                 0.9973,                0.99714,                0.99412,                0.94434,                 0.3609,                0.26992,                0.75744,             0.00072631,             0.00072631,             0.00072631
                     60,                0.45685,                0.28755,                0.79065,                0.99722,                0.99775,                0.99413,                0.94394,                0.36857,                0.27133,                0.75797,             0.00070981,             0.00070981,             0.00070981
                     61,                0.45558,                0.28736,                0.79121,                0.99719,                0.99621,                0.99391,                0.95069,                0.35023,                0.26716,                0.75698,             0.00069331,             0.00069331,             0.00069331
                     62,                0.45542,                0.28591,                 0.7915,                0.99769,                0.99675,                 0.9939,                0.94935,                0.35379,                0.26601,                0.75663,              0.0006768,              0.0006768,              0.0006768
                     63,                0.45621,                0.28698,                0.79055,                0.99727,                0.99698,                  0.994,                0.95176,                0.35127,                0.26335,                0.75698,              0.0006603,              0.0006603,              0.0006603
                     64,                0.45356,                0.28371,                0.79109,                0.99727,                0.99515,                0.99387,                0.95046,                0.35809,                0.26502,                0.75767,              0.0006438,              0.0006438,              0.0006438
                     65,                0.45063,                0.28248,                0.78987,                0.99752,                0.99729,                0.99392,                0.95018,                0.34737,                0.26273,                0.75602,             0.00062729,             0.00062729,             0.00062729
                     66,                0.44542,                0.28045,                 0.7895,                 0.9974,                0.99713,                  0.994,                  0.953,                0.34143,                0.26084,                0.75568,             0.00061079,             0.00061079,             0.00061079
                     67,                0.44538,                0.28155,                0.79004,                0.99718,                0.99733,                0.99386,                0.95472,                0.33168,                0.25702,                 0.7555,             0.00059429,             0.00059429,             0.00059429
                     68,                0.43704,                0.27618,                0.78888,                 0.9973,                0.99756,                0.99392,                0.95482,                0.33283,                0.25437,                0.75532,             0.00057778,             0.00057778,             0.00057778
                     69,                 0.4402,                0.27723,                0.78885,                0.99764,                0.99719,                0.99395,                0.95545,                0.33379,                 0.2533,                0.75518,             0.00056128,             0.00056128,             0.00056128
