                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9339,                  1.525,                 1.2482,                0.90924,                0.92773,                0.95456,                0.58726,                 1.3917,                0.85684,                 1.0587,              0.0033272,              0.0033272,              0.0033272
                      2,                 1.3618,                0.78947,                0.99313,                0.94157,                 0.9752,                0.97541,                0.67565,                 1.1007,                0.67912,                0.94621,              0.0065946,              0.0065946,              0.0065946
                      3,                 1.2582,                0.71849,                0.95808,                0.95128,                0.98122,                0.98187,                0.72679,                0.96343,                0.62173,                0.90035,               0.009796,               0.009796,               0.009796
                      4,                 1.1258,                0.64372,                0.92105,                0.95087,                0.98684,                0.98374,                0.77387,                0.83601,                0.55215,                0.86426,               0.009703,               0.009703,               0.009703
                      5,                0.99805,                0.57019,                0.88903,                0.95282,                0.98882,                0.98007,                0.78471,                 0.7761,                0.50666,                0.84596,               0.009703,               0.009703,               0.009703
                      6,                0.91044,                0.52399,                0.86962,                0.96828,                0.98789,                0.99061,                0.83614,                0.65548,                0.44831,                0.81957,               0.009604,               0.009604,               0.009604
                      7,                0.85548,                0.49647,                  0.858,                0.98022,                0.98801,                0.99206,                0.85079,                0.62686,                0.42119,                0.81691,               0.009505,               0.009505,               0.009505
                      8,                0.80943,                0.46933,                0.85022,                0.98404,                0.98258,                0.99267,                0.86139,                0.59491,                0.39506,                0.80665,               0.009406,               0.009406,               0.009406
                      9,                0.77245,                0.44861,                0.84391,                0.98587,                0.99234,                0.99296,                0.86079,                0.58985,                 0.3851,                0.80659,               0.009307,               0.009307,               0.009307
                     10,                0.74457,                0.43343,                0.83761,                0.98774,                0.98902,                0.99278,                0.87755,                0.53142,                0.36049,                0.79731,               0.009208,               0.009208,               0.009208
                     11,                0.72247,                0.41796,                0.83467,                0.98831,                0.99472,                0.99173,                 0.8881,                0.50954,                0.34763,                0.79272,               0.009109,               0.009109,               0.009109
