                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.54107,                0.31639,                0.81717,                0.99521,                0.99567,                0.99375,                0.93412,                0.39359,                0.27495,                0.77697,             0.00054478,             0.00054478,             0.00054478
                     37,                0.53658,                0.31613,                 0.8167,                0.99526,                0.99613,                0.99384,                 0.9334,                0.39354,                0.27382,                0.77661,             0.00051177,             0.00051177,             0.00051177
                     38,                0.53221,                 0.3157,                0.81613,                0.99547,                0.99695,                0.99382,                0.93526,                0.38635,                0.27221,                0.77571,             0.00047876,             0.00047876,             0.00047876
                     39,                 0.5256,                0.31357,                0.81438,                0.99498,                0.99702,                0.99378,                0.93573,                0.38796,                0.27533,                0.77567,             0.00044576,             0.00044576,             0.00044576
                     40,                 0.5305,                0.32531,                0.81477,                0.99621,                0.99617,                0.99387,                0.93693,                0.38645,                0.28093,                 0.7766,             0.00041275,             0.00041275,             0.00041275
                     41,                0.47076,                0.30224,                0.80466,                0.99492,                0.99665,                0.99383,                0.93671,                 0.3927,                0.28114,                0.77652,             0.00037974,             0.00037974,             0.00037974
                     42,                0.44886,                0.28923,                0.80344,                 0.9955,                0.99745,                0.99384,                0.93824,                0.38361,                0.27503,                0.77625,             0.00034674,             0.00034674,             0.00034674
                     43,                0.43729,                0.28334,                0.80093,                0.99555,                0.99701,                0.99383,                0.94085,                0.37566,                0.27164,                 0.7752,             0.00031373,             0.00031373,             0.00031373
                     44,                0.42931,                0.27803,                0.79945,                0.99605,                0.99713,                0.99382,                0.94305,                0.36865,                0.26751,                0.77472,             0.00028072,             0.00028072,             0.00028072
                     45,                0.41772,                0.27265,                0.79888,                0.99539,                0.99706,                 0.9939,                0.94391,                0.36383,                0.26421,                0.77429,             0.00024772,             0.00024772,             0.00024772
                     46,                0.41461,                0.27046,                0.79764,                  0.996,                0.99683,                0.99389,                0.94701,                0.35779,                0.26174,                0.77346,             0.00021471,             0.00021471,             0.00021471
                     47,                0.40797,                0.26748,                0.79747,                0.99604,                0.99743,                0.99391,                0.94657,                0.35615,                0.25969,                0.77338,              0.0001817,              0.0001817,              0.0001817
                     48,                 0.4019,                0.26423,                 0.7961,                0.99612,                0.99748,                0.99393,                0.94827,                0.35281,                0.25815,                0.77326,              0.0001487,              0.0001487,              0.0001487
                     49,                 0.3937,                0.26047,                0.79507,                  0.996,                 0.9974,                0.99395,                0.95011,                0.34914,                0.25687,                0.77284,             0.00011569,             0.00011569,             0.00011569
                     50,                0.38999,                0.25892,                0.79437,                0.99611,                0.99729,                0.99397,                0.95033,                0.34841,                0.25561,                0.77268,             8.2683e-05,             8.2683e-05,             8.2683e-05
